,Importance Score,Feature
0,0.049506300588845614,year
1,0.03680973130516038,age
2,0.03616333003591539,peravg
3,0.034123580023781346,gamessum
4,0.032446497179969114,wssum
5,0.03217989292940728,drbsum
6,0.031428957324051654,ptssum
7,0.02895335184730889,mpsum
8,0.02811522593260269,fgsum
9,0.02769140828776351,pfsum
10,0.02743874453245153,ft_percentageavg
11,0.027396237121522213,gamestartedsum
12,0.027065014807881625,trbsum
13,0.02664014225250788,fgasum
14,0.026589279059211268,ftravg
15,0.02646603933876224,stlsum
16,0.02633496557798051,ftsum
17,0.026036652029704937,ftasum
18,0.02597246877551575,blksum
19,0.02540709761835907,tovsum
20,0.025366046847083695,astsum
21,0.025077631223233008,twop_percentageavg
22,0.02497724170034161,owssum
23,0.02472341555341771,twopsum
24,0.0244394169303306,twopasum
25,0.02407430686122423,ts_percentageavg
26,0.024067251807960353,fg_percentageavg
27,0.023683845904051235,efg_percentageavg
28,0.02368115714968363,orbsum
29,0.023677634854388827,dwssum
30,0.023459760208034346,win_percentageavg
31,0.02329114018542419,threeparavg
32,0.022995475036934047,lossesavg
33,0.022665001237145047,winsavg
34,0.02155731450396337,threepasum
35,0.021426214723049713,threep_percentageavg
36,0.01807222870503173,threepsum
